,action,reward,load,location_y,location_x
0,2,-1.0,0,2,0
1,0,0.0,0,2,1
2,0,0.0,0,2,1
3,0,0.0,0,2,1
4,4,-1.0,0,2,1
5,1,6.5,0,2,0
6,3,6.5,1,1,0
7,2,-1.0,0,2,0
8,2,-1.0,0,2,1
9,1,-1.0,0,2,2
10,2,-1.0,0,1,2
11,2,6.5,0,1,3
12,2,0.0,1,1,4
13,2,0.0,1,1,4
14,2,0.0,1,1,4
15,2,0.0,1,1,4
16,2,0.0,1,1,4
17,2,0.0,1,1,4
18,2,0.0,1,1,4
19,2,0.0,1,1,4
20,2,0.0,1,1,4
21,2,0.0,1,1,4
22,2,0.0,1,1,4
23,2,0.0,1,1,4
24,2,0.0,1,1,4
25,2,0.0,1,1,4
26,2,0.0,1,1,4
27,2,0.0,1,1,4
28,2,0.0,1,1,4
29,2,0.0,1,1,4
30,2,0.0,1,1,4
31,2,0.0,1,1,4
32,2,0.0,1,1,4
33,3,-1.0,1,1,4
34,3,-1.0,1,2,4
35,4,-1.0,1,3,4
36,4,-1.0,1,3,3
37,4,6.5,1,3,2
38,4,-1.0,2,3,1
39,1,14.0,2,3,0
40,1,-1.0,0,2,0
41,2,-1.0,0,1,0
42,1,6.5,0,1,1
43,3,-1.0,1,0,1
44,3,-1.0,1,1,1
45,4,6.5,1,2,1
46,2,-1.0,0,2,0
47,0,0.0,0,2,1
48,0,0.0,0,2,1
49,0,0.0,0,2,1
50,0,0.0,0,2,1
51,2,-1.0,0,2,1
52,1,-1.0,0,2,2
53,1,6.5,0,1,2
54,2,-1.0,1,0,2
55,2,-1.0,1,0,3
56,3,-1.0,1,0,4
57,3,6.5,1,1,4
58,4,-1.0,2,2,4
59,1,-1.0,2,2,3
60,1,6.5,2,1,3
61,4,-1.0,3,0,3
62,3,-1.0,3,0,2
63,3,-1.0,3,1,2
64,4,-1.0,3,2,2
65,4,21.5,3,2,1
66,2,-1.0,0,2,0
67,2,-1.0,0,2,1
68,3,6.5,0,2,2
69,1,-1.0,1,3,2
70,2,6.5,1,2,2
71,4,-1.0,2,2,3
72,4,6.5,2,2,2
73,4,21.5,3,2,1
74,3,-1.0,0,2,0
75,3,-1.0,0,3,0
76,2,6.5,0,4,0
77,2,-1.0,1,4,1
78,2,6.5,1,4,2
79,1,-1.0,2,4,3
80,1,-1.0,2,3,3
81,1,6.5,2,2,3
82,4,-1.0,3,1,3
83,4,-1.0,3,1,2
84,4,-1.0,3,1,1
85,3,21.5,3,1,0
86,0,0.0,0,2,0
87,2,-1.0,0,2,0
88,1,-1.0,0,2,1
89,2,6.5,0,1,1
90,1,-1.0,1,1,2
91,4,6.5,1,0,2
92,1,0.0,2,0,1
93,3,-1.0,2,0,1
94,3,-1.0,2,1,1
95,4,14.0,2,2,1
96,2,-1.0,0,2,0
97,1,-1.0,0,2,1
98,4,6.5,0,1,1
99,3,6.5,1,1,0
100,1,-1.0,0,2,0
101,2,-1.0,0,1,0
102,2,-1.0,0,1,1
103,1,6.5,0,1,2
104,2,-1.0,1,0,2
105,3,-1.0,1,0,3
106,0,0.0,1,1,3
107,1,-1.0,1,1,3
108,4,-1.0,1,0,3
109,4,6.5,1,0,2
110,4,-1.0,2,0,1
111,3,-1.0,2,0,0
112,3,14.0,2,1,0
113,2,-1.0,0,2,0
114,2,-1.0,0,2,1
115,1,-1.0,0,2,2
116,2,6.5,0,1,2
117,0,0.0,1,1,3
118,0,0.0,1,1,3
119,0,0.0,1,1,3
120,0,0.0,1,1,3
121,0,0.0,1,1,3
122,0,0.0,1,1,3
123,0,0.0,1,1,3
124,0,0.0,1,1,3
125,0,0.0,1,1,3
126,0,0.0,1,1,3
127,3,-1.0,1,1,3
128,3,-1.0,1,2,3
129,3,-1.0,1,3,3
130,2,6.5,1,4,3
131,0,0.0,2,4,4
132,0,0.0,2,4,4
133,0,0.0,2,4,4
134,0,0.0,2,4,4
135,0,0.0,2,4,4
136,0,0.0,2,4,4
137,0,0.0,2,4,4
138,1,-1.0,2,4,4
139,4,-1.0,2,3,4
140,4,6.5,2,3,3
141,1,-1.0,3,3,2
142,4,-1.0,3,2,2
143,4,21.5,3,2,1
144,2,-1.0,0,2,0
145,2,-1.0,0,2,1
146,2,6.5,0,2,2
147,0,0.0,1,2,3
148,0,0.0,1,2,3
149,0,0.0,1,2,3
150,0,0.0,1,2,3
151,0,0.0,1,2,3
152,3,6.5,1,2,3
153,0,0.0,2,3,3
154,0,0.0,2,3,3
155,0,0.0,2,3,3
156,0,0.0,2,3,3
157,0,0.0,2,3,3
158,0,0.0,2,3,3
159,0,0.0,2,3,3
160,0,0.0,2,3,3
161,0,0.0,2,3,3
162,0,0.0,2,3,3
163,0,0.0,2,3,3
164,1,-1.0,2,3,3
165,4,-1.0,2,2,3
166,1,-1.0,2,2,2
167,1,6.5,2,1,2
168,4,-1.0,3,0,2
169,4,-1.0,3,0,1
170,3,-1.0,3,0,0
171,3,21.5,3,1,0
172,2,-1.0,0,2,0
173,0,0.0,0,2,1
174,0,0.0,0,2,1
175,0,0.0,0,2,1
176,2,-1.0,0,2,1
177,2,-1.0,0,2,2
178,2,6.5,0,2,3
179,0,0.0,1,2,4
180,3,6.5,1,2,4
181,1,-1.0,2,3,4
182,1,-1.0,2,2,4
183,4,6.5,2,1,4
184,4,-1.0,3,1,3
185,3,-1.0,3,1,2
186,4,-1.0,3,2,2
187,4,21.5,3,2,1
188,2,-1.0,0,2,0
189,0,0.0,0,2,1
190,2,-1.0,0,2,1
191,1,-1.0,0,2,2
192,1,6.5,0,1,2
193,0,0.0,1,0,2
194,0,0.0,1,0,2
195,0,0.0,1,0,2
196,0,0.0,1,0,2
197,0,0.0,1,0,2
198,0,0.0,1,0,2
199,0,0.0,1,0,2
200,2,-1.0,0,2,0
201,0,0.0,0,2,1
202,2,-1.0,0,2,1
203,2,-1.0,0,2,2
204,1,6.5,0,2,3
205,4,-1.0,1,1,3
206,4,6.5,1,1,2
207,4,-1.0,2,1,1
208,3,14.0,2,1,0
209,3,-1.0,0,2,0
210,3,-1.0,0,3,0
211,2,-1.0,0,4,0
212,2,6.5,0,4,1
213,1,-1.0,1,4,2
214,1,-1.0,1,3,2
215,1,-1.0,1,2,2
216,4,-1.0,1,1,2
217,1,6.5,1,1,1
218,3,-1.0,2,0,1
219,3,6.5,2,1,1
220,4,21.5,3,2,1
221,1,6.5,0,2,0
222,3,6.5,1,1,0
223,3,-1.0,0,2,0
224,2,6.5,0,3,0
225,4,-1.0,1,3,1
226,1,6.5,1,3,0
227,1,-1.0,0,2,0
228,2,-1.0,0,1,0
229,1,6.5,0,1,1
230,3,-1.0,1,0,1
231,3,-1.0,1,1,1
232,4,6.5,1,2,1
233,2,-1.0,0,2,0
234,2,-1.0,0,2,1
235,3,-1.0,0,2,2
236,2,6.5,0,3,2
237,0,0.0,1,3,3
238,2,6.5,1,3,3
239,2,0.0,2,3,4
240,2,0.0,2,3,4
241,2,0.0,2,3,4
242,2,0.0,2,3,4
243,3,6.5,2,3,4
244,4,-1.0,3,4,4
245,4,-1.0,3,4,3
246,1,-1.0,3,4,2
247,1,-1.0,3,3,2
248,4,-1.0,3,2,2
249,4,21.5,3,2,1
250,3,-1.0,0,2,0
251,2,-1.0,0,3,0
252,2,6.5,0,3,1
253,3,6.5,1,3,2
254,1,-1.0,2,4,2
255,1,-1.0,2,3,2
256,4,-1.0,2,2,2
257,4,14.0,2,2,1
258,2,-1.0,0,2,0
259,0,0.0,0,2,1
260,0,0.0,0,2,1
261,0,0.0,0,2,1
262,0,0.0,0,2,1
263,2,-1.0,0,2,1
264,3,-1.0,0,2,2
265,2,-1.0,0,3,2
266,2,6.5,0,3,3
267,3,6.5,1,3,4
268,1,-1.0,2,4,4
269,1,-1.0,2,3,4
270,1,-1.0,2,2,4
271,4,-1.0,2,1,4
272,1,6.5,2,1,3
273,4,-1.0,3,0,3
274,4,-1.0,3,0,2
275,4,-1.0,3,0,1
276,3,-1.0,3,0,0
277,3,21.5,3,1,0
278,2,-1.0,0,2,0
279,0,0.0,0,2,1
280,0,0.0,0,2,1
281,0,0.0,0,2,1
282,0,0.0,0,2,1
283,0,0.0,0,2,1
284,2,-1.0,0,2,1
285,1,-1.0,0,2,2
286,2,-1.0,0,1,2
287,1,6.5,0,1,3
288,0,0.0,1,0,3
289,0,0.0,1,0,3
290,0,0.0,1,0,3
291,0,0.0,1,0,3
292,0,0.0,1,0,3
293,2,-1.0,1,0,3
294,3,-1.0,1,0,4
295,3,6.5,1,1,4
296,4,-1.0,2,2,4
297,4,6.5,2,2,3
298,4,-1.0,3,2,2
299,4,21.5,3,2,1
300,3,-1.0,0,2,0
301,2,6.5,0,3,0
302,2,-1.0,1,3,1
303,2,6.5,1,3,2
304,1,-1.0,2,3,3
305,4,-1.0,2,2,3
306,1,6.5,2,2,2
307,4,-1.0,3,1,2
308,3,-1.0,3,1,1
309,4,21.5,3,2,1
310,2,-1.0,0,2,0
311,2,-1.0,0,2,1
312,2,-1.0,0,2,2
313,2,6.5,0,2,3
314,1,-1.0,1,2,4
315,4,6.5,1,1,4
316,4,-1.0,2,1,3
317,4,-1.0,2,1,2
318,3,-1.0,2,1,1
319,3,-1.0,2,2,1
320,3,6.5,2,3,1
321,4,-1.0,3,4,1
322,1,-1.0,3,4,0
323,1,21.5,3,3,0
324,3,-1.0,0,2,0
325,2,6.5,0,3,0
326,4,-1.0,1,3,1
327,1,6.5,1,3,0
328,2,-1.0,0,2,0
329,2,-1.0,0,2,1
330,2,-1.0,0,2,2
331,2,6.5,0,2,3
332,0,0.0,1,2,4
333,4,-1.0,1,2,4
334,4,-1.0,1,2,3
335,1,6.5,1,2,2
336,3,-1.0,2,1,2
337,4,-1.0,2,2,2
338,4,14.0,2,2,1
339,2,-1.0,0,2,0
340,0,0.0,0,2,1
341,0,0.0,0,2,1
342,0,0.0,0,2,1
343,0,0.0,0,2,1
344,0,0.0,0,2,1
345,2,-1.0,0,2,1
346,1,-1.0,0,2,2
347,2,-1.0,0,1,2
348,2,6.5,0,1,3
349,1,-1.0,1,1,4
350,4,-1.0,1,0,4
351,4,-1.0,1,0,3
352,4,6.5,1,0,2
353,3,-1.0,2,0,1
354,3,-1.0,2,1,1
355,4,14.0,2,2,1
356,0,0.0,0,2,0
357,2,-1.0,0,2,0
358,0,0.0,0,2,1
359,0,0.0,0,2,1
360,2,-1.0,0,2,1
361,1,6.5,0,2,2
362,0,0.0,1,1,2
363,0,0.0,1,1,2
364,0,0.0,1,1,2
365,3,-1.0,1,1,2
366,3,-1.0,1,2,2
367,3,6.5,1,3,2
368,2,-1.0,2,4,2
369,2,6.5,2,4,3
370,4,-1.0,3,4,4
371,4,-1.0,3,4,3
372,1,-1.0,3,4,2
373,4,-1.0,3,3,2
374,4,-1.0,3,3,1
375,1,21.5,3,3,0
376,2,-1.0,0,2,0
377,2,-1.0,0,2,1
378,1,6.5,0,2,2
379,1,-1.0,1,1,2
380,2,6.5,1,0,2
381,3,-1.0,2,0,3
382,3,-1.0,2,1,3
383,4,-1.0,2,2,3
384,4,-1.0,2,2,2
385,4,14.0,2,2,1
386,2,-1.0,0,2,0
387,2,-1.0,0,2,1
388,2,-1.0,0,2,2
389,2,6.5,0,2,3
390,1,-1.0,1,2,4
391,1,6.5,1,1,4
392,3,-1.0,2,0,4
393,3,-1.0,2,1,4
394,3,6.5,2,2,4
395,4,-1.0,3,3,4
396,4,-1.0,3,3,3
397,1,-1.0,3,3,2
398,4,-1.0,3,2,2
399,4,21.5,3,2,1
400,2,-1.0,0,2,0
401,0,0.0,0,2,1
402,0,0.0,0,2,1
403,0,0.0,0,2,1
404,2,-1.0,0,2,1
405,1,6.5,0,2,2
406,1,6.5,1,1,2
407,2,-1.0,2,0,2
408,3,-1.0,2,0,3
409,2,6.5,2,1,3
410,4,-1.0,3,1,4
411,4,-1.0,3,1,3
412,3,-1.0,3,1,2
413,4,-1.0,3,2,2
414,4,21.5,3,2,1
415,2,-1.0,0,2,0
416,2,-1.0,0,2,1
417,2,6.5,0,2,2
418,1,-1.0,1,2,3
419,1,-1.0,1,1,3
420,4,6.5,1,0,3
421,2,-1.0,2,0,2
422,2,6.5,2,0,3
423,4,-1.0,3,0,4
424,4,-1.0,3,0,3
425,4,-1.0,3,0,2
426,3,-1.0,3,0,1
427,4,-1.0,3,1,1
428,3,21.5,3,1,0
429,3,-1.0,0,2,0
430,2,-1.0,0,3,0
431,2,6.5,0,3,1
432,2,-1.0,1,3,2
433,3,6.5,1,3,3
434,1,-1.0,2,4,3
435,0,0.0,2,3,3
436,0,0.0,2,3,3
437,0,0.0,2,3,3
438,0,0.0,2,3,3
439,4,-1.0,2,3,3
440,1,-1.0,2,3,2
441,1,-1.0,2,2,2
442,4,6.5,2,1,2
443,3,-1.0,3,1,1
444,4,21.5,3,2,1
445,2,-1.0,0,2,0
446,2,-1.0,0,2,1
447,3,-1.0,0,2,2
448,2,-1.0,0,3,2
449,2,6.5,0,3,3
450,1,-1.0,1,3,4
451,1,-1.0,1,2,4
452,1,-1.0,1,1,4
453,4,-1.0,1,0,4
454,4,6.5,1,0,3
455,3,-1.0,2,0,2
456,4,-1.0,2,1,2
457,4,6.5,2,1,1
458,3,21.5,3,1,0
459,3,-1.0,0,2,0
460,2,6.5,0,3,0
461,2,-1.0,1,3,1
462,3,6.5,1,3,2
463,2,-1.0,2,4,2
464,2,-1.0,2,4,3
465,1,6.5,2,4,4
466,4,-1.0,3,3,4
467,4,-1.0,3,3,3
468,1,-1.0,3,3,2
469,4,-1.0,3,2,2
470,4,21.5,3,2,1
471,2,-1.0,0,2,0
472,2,-1.0,0,2,1
473,1,-1.0,0,2,2
474,1,-1.0,0,1,2
475,2,6.5,0,0,2
476,3,-1.0,1,0,3
477,3,-1.0,1,1,3
478,3,6.5,1,2,3
479,3,6.5,2,3,3
480,4,-1.0,3,4,3
481,4,-1.0,3,4,2
482,4,-1.0,3,4,1
483,1,-1.0,3,4,0
484,1,21.5,3,3,0
485,1,6.5,0,2,0
486,3,6.5,1,1,0
487,2,-1.0,0,2,0
488,0,0.0,0,2,1
489,3,-1.0,0,2,1
490,2,-1.0,0,3,1
491,3,6.5,0,3,2
492,0,0.0,1,4,2
493,0,0.0,1,4,2
494,1,-1.0,1,4,2
495,1,-1.0,1,3,2
496,1,-1.0,1,2,2
497,4,-1.0,1,1,2
498,1,6.5,1,1,1
499,4,-1.0,2,0,1
500,3,-1.0,2,0,0
501,3,14.0,2,1,0
502,2,-1.0,0,2,0
503,2,-1.0,0,2,1
504,3,-1.0,0,2,2
505,2,-1.0,0,3,2
506,2,6.5,0,3,3
507,1,-1.0,1,3,4
508,1,-1.0,1,2,4
509,1,-1.0,1,1,4
510,4,6.5,1,0,4
511,3,-1.0,2,0,3
512,3,-1.0,2,1,3
513,3,-1.0,2,2,3
514,3,6.5,2,3,3
515,4,-1.0,3,4,3
516,1,-1.0,3,4,2
517,1,-1.0,3,3,2
518,4,-1.0,3,2,2
519,4,21.5,3,2,1
520,4,0.0,0,2,0
521,2,-1.0,0,2,0
522,3,-1.0,0,2,1
523,2,-1.0,0,3,1
524,2,6.5,0,3,2
525,3,-1.0,1,3,3
526,2,6.5,1,4,3
527,1,-1.0,2,4,4
528,4,-1.0,2,3,4
529,1,-1.0,2,3,3
530,4,-1.0,2,2,3
531,4,-1.0,2,2,2
532,1,6.5,2,2,1
533,3,-1.0,3,1,1
534,4,21.5,3,2,1
535,2,-1.0,0,2,0
536,1,-1.0,0,2,1
537,2,-1.0,0,1,1
538,0,0.0,0,1,2
539,3,-1.0,0,1,2
540,0,7.5,0,2,2
541,3,-1.0,1,2,2
542,2,-1.0,1,3,2
543,3,6.5,1,3,3
544,1,-1.0,2,4,3
545,0,0.0,2,3,3
546,0,0.0,2,3,3
547,1,-1.0,2,3,3
548,4,6.5,2,2,3
549,4,-1.0,3,2,2
550,4,21.5,3,2,1
551,2,-1.0,0,2,0
552,4,-1.0,0,2,1
553,1,6.5,0,2,0
554,3,6.5,1,1,0
555,3,-1.0,0,2,0
556,2,-1.0,0,3,0
557,2,6.5,0,3,1
558,2,-1.0,1,3,2
559,3,6.5,1,3,3
560,1,-1.0,2,4,3
561,4,-1.0,2,3,3
562,4,-1.0,2,3,2
563,1,-1.0,2,3,1
564,4,14.0,2,2,1
565,2,6.5,0,2,0
566,4,6.5,1,2,1
567,1,-1.0,0,2,0
568,2,-1.0,0,1,0
569,2,-1.0,0,1,1
570,1,6.5,0,1,2
571,3,-1.0,1,0,2
572,3,-1.0,1,1,2
573,3,-1.0,1,2,2
574,3,6.5,1,3,2
575,2,6.5,2,4,2
576,4,-1.0,3,4,3
577,1,-1.0,3,4,2
578,4,-1.0,3,3,2
579,1,-1.0,3,3,1
580,4,21.5,3,2,1
581,3,-1.0,0,2,0
582,2,6.5,0,3,0
583,4,-1.0,1,3,1
584,1,6.5,1,3,0
585,4,0.0,0,2,0
586,0,0.0,0,2,0
587,2,-1.0,0,2,0
588,3,-1.0,0,2,1
589,3,6.5,0,3,1
590,2,-1.0,1,4,1
591,2,-1.0,1,4,2
592,1,6.5,1,4,3
593,1,-1.0,2,3,3
594,2,6.5,2,2,3
595,4,-1.0,3,2,4
596,4,-1.0,3,2,3
597,4,-1.0,3,2,2
598,4,21.5,3,2,1
599,2,-1.0,0,2,0
600,2,-1.0,0,2,0
601,0,0.0,0,2,1
602,0,0.0,0,2,1
603,0,0.0,0,2,1
604,0,0.0,0,2,1
605,0,0.0,0,2,1
606,0,0.0,0,2,1
607,0,0.0,0,2,1
608,0,0.0,0,2,1
609,0,0.0,0,2,1
610,0,0.0,0,2,1
611,2,-1.0,0,2,1
612,2,6.5,0,2,2
613,2,6.5,1,2,3
614,4,-1.0,2,2,4
615,4,-1.0,2,2,3
616,4,-1.0,2,2,2
617,4,14.0,2,2,1
618,1,6.5,0,2,0
619,3,6.5,1,1,0
620,3,6.5,0,2,0
621,1,6.5,1,3,0
622,2,-1.0,0,2,0
623,2,-1.0,0,2,1
624,1,6.5,0,2,2
625,4,-1.0,1,1,2
626,1,-1.0,1,1,1
627,4,6.5,1,0,1
628,3,-1.0,2,0,0
629,3,14.0,2,1,0
630,2,-1.0,0,2,0
631,2,-1.0,0,2,1
632,3,-1.0,0,2,2
633,2,6.5,0,3,2
634,1,-1.0,1,3,3
635,2,6.5,1,2,3
636,1,-1.0,2,2,4
637,4,-1.0,2,1,4
638,1,6.5,2,1,3
639,4,-1.0,3,0,3
640,4,-1.0,3,0,2
641,3,-1.0,3,0,1
642,3,-1.0,3,1,1
643,4,21.5,3,2,1
644,2,-1.0,0,2,0
645,2,-1.0,0,2,1
646,2,-1.0,0,2,2
647,2,6.5,0,2,3
648,1,6.5,1,2,4
649,3,-1.0,2,1,4
650,3,-1.0,2,2,4
651,4,-1.0,2,3,4
652,3,6.5,2,3,3
653,4,-1.0,3,4,3
654,1,-1.0,3,4,2
655,1,-1.0,3,3,2
656,4,-1.0,3,2,2
657,4,21.5,3,2,1
658,2,-1.0,0,2,0
659,1,-1.0,0,2,1
660,2,-1.0,0,1,1
661,1,-1.0,0,1,2
662,2,6.5,0,0,2
663,3,-1.0,1,0,3
664,4,6.5,1,1,3
665,4,-1.0,2,1,2
666,4,-1.0,2,1,1
667,3,14.0,2,1,0
668,3,-1.0,0,2,0
669,2,6.5,0,3,0
670,2,-1.0,1,3,1
671,3,6.5,1,3,2
672,4,-1.0,2,4,2
673,1,-1.0,2,4,1
674,1,-1.0,2,3,1
675,4,14.0,2,2,1
676,2,-1.0,0,2,0
677,2,-1.0,0,2,1
678,2,-1.0,0,2,2
679,1,-1.0,0,2,3
680,2,6.5,0,1,3
681,4,6.5,1,1,4
682,1,6.5,2,1,3
683,4,-1.0,3,0,3
684,4,-1.0,3,0,2
685,4,-1.0,3,0,1
686,3,-1.0,3,0,0
687,3,21.5,3,1,0
688,1,6.5,0,2,0
689,3,6.5,1,1,0
690,2,-1.0,0,2,0
691,0,0.0,0,2,1
692,0,0.0,0,2,1
693,0,0.0,0,2,1
694,0,0.0,0,2,1
695,2,-1.0,0,2,1
696,2,6.5,0,2,2
697,0,0.0,1,2,3
698,0,0.0,1,2,3
699,3,6.5,1,2,3
700,0,0.0,2,3,3
701,0,0.0,2,3,3
702,0,0.0,2,3,3
703,0,0.0,2,3,3
704,0,0.0,2,3,3
705,0,0.0,2,3,3
706,0,0.0,2,3,3
707,0,0.0,2,3,3
708,0,0.0,2,3,3
709,0,0.0,2,3,3
710,1,-1.0,2,3,3
711,0,0.0,2,2,3
712,0,0.0,2,2,3
713,0,0.0,2,2,3
714,4,-1.0,2,2,3
715,4,-1.0,2,2,2
716,4,14.0,2,2,1
717,3,6.5,0,2,0
718,1,6.5,1,3,0
719,2,-1.0,0,2,0
720,2,-1.0,0,2,1
721,3,-1.0,0,2,2
722,2,6.5,0,3,2
723,2,6.5,1,3,3
724,2,0.0,2,3,4
725,2,0.0,2,3,4
726,2,0.0,2,3,4
727,2,0.0,2,3,4
728,2,0.0,2,3,4
729,4,-1.0,2,3,4
730,1,-1.0,2,3,3
731,4,6.5,2,2,3
732,4,-1.0,3,2,2
733,4,21.5,3,2,1
734,2,-1.0,0,2,0
735,1,6.5,0,2,1
736,1,6.5,1,1,1
737,3,-1.0,2,0,1
738,3,-1.0,2,1,1
739,4,14.0,2,2,1
740,2,-1.0,0,2,0
741,2,6.5,0,2,1
742,1,-1.0,1,2,2
743,2,6.5,1,1,2
744,2,6.5,2,1,3
745,4,-1.0,3,1,4
746,4,-1.0,3,1,3
747,3,-1.0,3,1,2
748,4,-1.0,3,2,2
749,4,21.5,3,2,1
750,0,0.0,0,2,0
751,4,0.0,0,2,0
752,2,-1.0,0,2,0
753,0,0.0,0,2,1
754,0,0.0,0,2,1
755,0,0.0,0,2,1
756,0,0.0,0,2,1
757,4,-1.0,0,2,1
758,3,-1.0,0,2,0
759,3,6.5,0,3,0
760,1,-1.0,1,4,0
761,1,6.5,1,3,0
762,2,-1.0,0,2,0
763,1,-1.0,0,2,1
764,2,-1.0,0,1,1
765,2,6.5,0,1,2
766,3,-1.0,1,1,3
767,3,-1.0,1,2,3
768,2,6.5,1,3,3
769,2,0.0,2,3,4
770,2,0.0,2,3,4
771,2,0.0,2,3,4
772,2,0.0,2,3,4
773,2,0.0,2,3,4
774,2,0.0,2,3,4
775,2,0.0,2,3,4
776,2,0.0,2,3,4
777,3,6.5,2,3,4
778,4,-1.0,3,4,4
779,4,-1.0,3,4,3
780,1,-1.0,3,4,2
781,1,-1.0,3,3,2
782,4,-1.0,3,2,2
783,4,21.5,3,2,1
784,2,-1.0,0,2,0
785,2,-1.0,0,2,1
786,1,6.5,0,2,2
787,0,0.0,1,1,2
788,0,0.0,1,1,2
789,0,0.0,1,1,2
790,0,0.0,1,1,2
791,0,0.0,1,1,2
792,0,0.0,1,1,2
793,0,0.0,1,1,2
794,0,0.0,1,1,2
795,0,0.0,1,1,2
796,0,0.0,1,1,2
797,2,6.5,1,1,2
798,1,-1.0,2,1,3
799,1,0.0,2,0,3
800,2,-1.0,0,2,0
801,0,0.0,0,2,1
802,0,0.0,0,2,1
803,0,0.0,0,2,1
804,0,0.0,0,2,1
805,0,0.0,0,2,1
806,0,0.0,0,2,1
807,0,0.0,0,2,1
808,2,-1.0,0,2,1
809,3,-1.0,0,2,2
810,2,-1.0,0,3,2
811,2,6.5,0,3,3
812,0,0.0,1,3,4
813,0,0.0,1,3,4
814,0,0.0,1,3,4
815,0,0.0,1,3,4
816,4,-1.0,1,3,4
817,4,-1.0,1,3,3
818,3,6.5,1,3,2
819,0,0.0,2,4,2
820,2,-1.0,2,4,2
821,2,-1.0,2,4,3
822,1,6.5,2,4,4
823,4,-1.0,3,3,4
824,4,-1.0,3,3,3
825,4,-1.0,3,3,2
826,1,-1.0,3,3,1
827,4,21.5,3,2,1
828,2,-1.0,0,2,0
829,2,6.5,0,2,1
830,1,-1.0,1,2,2
831,2,6.5,1,1,2
832,3,-1.0,2,1,3
833,2,6.5,2,2,3
834,4,-1.0,3,2,4
835,4,-1.0,3,2,3
836,4,-1.0,3,2,2
837,4,21.5,3,2,1
838,2,-1.0,0,2,0
839,2,-1.0,0,2,1
840,3,6.5,0,2,2
841,4,-1.0,1,3,2
842,3,6.5,1,3,1
843,1,-1.0,2,4,1
844,1,-1.0,2,3,1
845,4,14.0,2,2,1
846,2,-1.0,0,2,0
847,0,0.0,0,2,1
848,0,0.0,0,2,1
849,0,0.0,0,2,1
850,2,-1.0,0,2,1
851,1,-1.0,0,2,2
852,2,-1.0,0,1,2
853,2,6.5,0,1,3
854,3,6.5,1,1,4
855,4,-1.0,2,2,4
856,4,-1.0,2,2,3
857,4,-1.0,2,2,2
858,4,14.0,2,2,1
859,2,-1.0,0,2,0
860,0,0.0,0,2,1
861,0,0.0,0,2,1
862,3,-1.0,0,2,1
863,2,-1.0,0,3,1
864,3,6.5,0,3,2
865,2,-1.0,1,4,2
866,1,6.5,1,4,3
867,2,-1.0,2,3,3
868,1,-1.0,2,3,4
869,1,6.5,2,2,4
870,4,-1.0,3,1,4
871,4,-1.0,3,1,3
872,4,-1.0,3,1,2
873,3,-1.0,3,1,1
874,4,21.5,3,2,1
