step,agent_y,agent_x,agent_load,rew,action,put/take
184,3,0,3,-1.0,4,walk
185,2,0,0,21.5,1,put
186,2,1,0,-1.0,2,walk
187,2,2,0,-1.0,2,walk
188,2,3,0,-1.0,2,walk
189,1,3,1,6.5,1,take
190,1,2,1,-1.0,4,walk
191,0,2,2,6.5,1,take
192,0,2,2,0.0,0,stay
193,0,2,2,0.0,0,stay
194,0,2,2,0.0,0,stay
195,0,2,2,0.0,0,stay
196,0,2,2,0.0,0,stay
197,0,2,2,0.0,0,stay
198,0,2,2,0.0,0,stay
199,1,2,2,-1.0,3,walk
200,2,0,0,0.0,0,stay
201,2,1,0,-1.0,2,walk
202,2,2,0,-1.0,2,walk
203,2,1,0,-1.0,4,walk
204,1,1,1,6.5,1,take
205,1,2,1,-1.0,2,walk
206,1,3,2,6.5,2,take
207,2,3,2,-1.0,3,walk
208,3,3,2,-1.0,3,walk
209,3,2,2,-1.0,4,walk
210,4,2,3,6.5,3,take
211,4,1,3,-1.0,4,walk
212,4,0,3,-1.0,4,walk
213,3,0,3,-1.0,1,walk
214,2,0,0,21.5,1,put
215,1,0,1,6.5,1,take
216,1,1,1,-1.0,2,walk
217,0,1,2,6.5,1,take
218,1,1,2,-1.0,3,walk
219,2,1,3,6.5,3,take
220,2,0,0,21.5,4,put
221,2,1,0,-1.0,2,walk
222,3,1,1,6.5,3,take
223,3,1,1,0.0,0,stay
224,3,1,1,0.0,0,stay
225,3,1,1,0.0,0,stay
226,3,1,1,0.0,0,stay
227,2,1,1,-1.0,1,walk
228,1,1,1,-1.0,1,walk
229,0,1,2,6.5,1,take
230,0,1,2,0.0,0,stay
231,0,2,2,-1.0,2,walk
232,0,3,2,-1.0,2,walk
233,1,3,2,-1.0,3,walk
234,2,3,2,-1.0,3,walk
235,3,3,3,6.5,3,take
236,3,2,3,-1.0,4,walk
237,3,1,3,-1.0,4,walk
238,3,0,3,-1.0,4,walk
239,2,0,0,21.5,1,put
240,2,1,0,-1.0,2,walk
241,2,2,0,-1.0,2,walk
242,2,3,0,-1.0,2,walk
243,2,4,0,-1.0,2,walk
244,3,4,1,6.5,3,take
245,3,3,1,-1.0,4,walk
246,3,2,2,6.5,4,take
247,4,2,3,6.5,3,take
248,4,1,3,-1.0,4,walk
249,4,0,3,-1.0,4,walk
250,3,0,3,-1.0,1,walk
251,2,0,0,21.5,1,put
252,2,0,0,0.0,0,stay
253,2,0,0,0.0,0,stay
254,2,0,0,0.0,0,stay
255,2,0,0,0.0,0,stay
256,2,0,0,0.0,0,stay
257,2,0,0,0.0,0,stay
258,2,0,0,0.0,0,stay
259,2,0,0,0.0,0,stay
260,2,0,0,0.0,0,stay
261,2,0,0,0.0,0,stay
262,2,1,0,-1.0,2,walk
263,2,2,0,-1.0,2,walk
264,2,3,0,-1.0,2,walk
265,2,4,0,-1.0,2,walk
266,3,4,1,6.5,3,take
267,4,4,2,6.5,3,take
268,3,4,2,-1.0,1,walk
269,2,4,2,-1.0,1,walk
270,2,3,2,-1.0,4,walk
271,1,3,2,-1.0,1,walk
272,0,3,3,6.5,1,take
273,0,2,3,-1.0,4,walk
274,0,1,3,-1.0,4,walk
275,0,0,3,-1.0,4,walk
